id,match_number,home_team_id,away_team_id,city_id,stage_id,kickoff_at,match_label,real_score_a,real_score_b,real_advanced_team_id,is_locked
88,88,,,5,2,2026-07-04 09:30,1K vs 3DEIJL,,,,False
89,89,,,4,3,2026-07-05 01:00,W73 vs W75,,,,False
90,90,,,9,3,2026-07-05 04:00,W74 vs W77,,,,False
91,91,,,8,3,2026-07-06 03:00,W76 vs W78,,,,False
92,92,,,15,3,2026-07-06 09:00,W79 vs W80,,,,False
93,93,,,3,3,2026-07-07 03:00,W83 vs W84,,,,False
94,94,,,11,3,2026-07-07 10:00,W81 vs W82,,,,False
95,95,,,1,3,2026-07-07 23:00,W86 vs W88,,,,False
96,96,,,13,3,2026-07-08 06:00,W85 vs W87,,,,False
97,97,,,2,4,2026-07-10 03:00,W89 vs W90,,,,False
98,98,,,6,4,2026-07-11 05:00,W93 vs W94,,,,False
99,99,,,7,4,2026-07-12 04:00,W91 vs W92,,,,False
100,100,,,5,4,2026-07-12 09:00,W95 vs W100,,,,False
101,101,,,3,5,2026-07-15 03:00,W97 vs W98,,,,False
102,102,,,1,5,2026-07-16 02:00,W99 vs W100,,,,False
103,103,,,7,6,2026-07-19 04:00,RU101 vs RU102,,,,False
104,104,,,8,7,2026-07-20 02:00,W101 vs W102,,,,False
